case_number,claimant,respondents,status
ARB/21/4,RWE AG and RWE Eemshaven Holding II BV,Kingdom of the Netherlands,Pending
ARB/21/3,Philip Morris International Inc. and others,Ukraine,Concluded
ARB/21/2,UAB Pavilniu saules slenis 14 and UAB Modus grupe,Republic of Belarus,Pending
ADM/21/1,AsiaPhos Limited and Norwest Chemicals Pte Ltd,People’s Republic of China,Concluded
ARB/21/1,Quanta Services Netherlands B.V.,Republic of Peru,Pending
ARB/20/54,Arka Energy B.V.,Republic of Albania,Concluded
ARB/20/53,Bachar Kiwan,State of Kuwait,Pending
ARB/20/52,"Koch Industries, Inc. and Koch Supply & Trading, LP",Canada,Pending
ARB/20/51,Worth Capital Holdings 27 LLC,Republic of Peru,Pending
ARB/20/50,Contour Global Kosovo LLC,Republic of Kosovo and others,Concluded
ARB/20/49,Ahron G. Frenkel,Republic of Croatia,Pending
ARB/20/48,Grupo Energía Bogotá S.A. E.S.P. and Transportadora de Energía de Centroamérica S.A.,Republic of Guatemala,Pending
ARB/20/47,"Mitsui & Co., Ltd.",Kingdom of Spain,Pending
ARB/20/46,Lupaka Gold Corp.,Republic of Peru,Pending
ARB/20/45,Gesenu S.p.A.,Arab Republic of Egypt,Pending
ARB/20/44,Nasib Hasanov,Georgia,Pending
ARB/20/43,OTP Bank Plc,Republic of Croatia,Concluded
ARB/20/42,Orange S.A.,Republic of Iraq,Pending
ARB/20/41,"Eni International B.V., Eni Oil Holdings B.V. and Nigerian Agip Exploration Limited",Federal Republic of Nigeria,Pending
ARB/20/40,Qatar National Bank (Q.P.S.C.),Republic of South Sudan and Bank of South Sudan,Pending
ARB/20/39,Encavis AG and others,Italian Republic,Pending
ARB/20/38,"Nachingwea U.K. Limited (UK), Ntaka Nickel Holdings Limited (UK) and Nachingwea Nickel Limited (Tanzania)",United Republic of Tanzania,Pending
ARB/20/37,Durres Kurum Shipping SH. P.K. and others,Republic of Albania,Pending
ARB/20/36,Akfel Commodities Pte. Ltd. and I-Systems Global B.V.,Republic of Türkiye,Pending
ARB/20/35,Fin.Doc S.r.l. and others,Romania,Pending
ARB/20/34,Goh Chin Soon,People's Republic of China,Concluded
ARB/20/33,JCDecaux SA,Czech Republic,Pending
